Id Empresas,Id Frutas,Id Cliente,Cantidad,Anio,Ventas EEUU,Ventas China,Ventas Espana,Ventas Francia,Ventas Canada
1,5,3,1685,2011,5,4,1,2,2
7,6,4,2174,2013,3,4,2,3,3
5,5,5,919,2013,5,3,3,3,4
1,1,2,2225,2015,4,4,1,3,1
7,2,5,1919,2010,1,4,3,3,3
1,1,3,1630,2020,5,4,2,2,2
6,3,1,908,2014,1,4,2,3,1
5,2,2,2207,2014,2,4,1,3,4
3,6,4,1272,2011,3,4,2,3,4
5,1,5,2253,2018,5,4,3,3,1
6,1,3,2031,2020,5,4,3,3,1
3,5,2,1003,2013,3,4,1,3,4
2,5,1,1206,2016,3,4,2,3,2
5,6,1,1448,2016,5,3,1,2,3
2,3,1,1556,2015,1,3,3,3,1
2,1,1,2189,2011,4,4,3,3,4
7,2,3,2012,2014,2,3,1,3,2
5,2,4,955,2020,1,4,2,3,1
2,2,5,2319,2011,3,4,3,3,5
6,1,3,2315,2013,3,4,2,2,1
4,2,3,2275,2016,3,3,3,2,2
5,3,1,2129,2010,1,4,3,3,3
7,5,4,980,2012,3,3,1,2,3
4,3,1,829,2012,1,3,3,2,3
6,2,1,1181,2016,2,3,2,2,1
4,2,2,1421,2013,1,3,1,2,3
2,3,5,924,2013,3,4,3,3,2
6,2,5,2184,2016,5,3,1,2,4
6,5,4,1353,2011,3,4,1,3,3
1,5,5,939,2013,5,4,2,3,5
4,2,5,1977,2014,3,4,2,3,1
3,4,5,1101,2014,4,3,1,2,5
3,7,4,1343,2015,1,4,2,3,2
3,5,4,1258,2015,5,3,1,3,4
1,3,2,2342,2019,3,4,1,2,2
4,6,1,2369,2015,1,4,2,3,2
2,2,1,1338,2019,3,3,1,3,4
4,6,2,1785,2014,3,4,1,3,3
1,3,3,924,2011,1,3,3,3,1
7,3,3,1439,2019,2,4,2,3,4
1,4,5,2043,2012,5,3,2,3,2
4,6,5,868,2013,2,3,3,3,2
7,1,3,1718,2013,2,3,2,2,2
3,5,1,1306,2011,3,4,2,3,2
4,4,4,1051,2012,5,3,1,2,3
2,6,1,1528,2010,5,3,2,2,1
7,3,3,1580,2018,2,3,3,3,5
4,2,3,1840,2014,3,4,3,3,5
5,2,4,1348,2020,2,3,1,2,2
2,4,5,1554,2011,4,3,1,2,1
3,2,4,921,2018,3,4,3,2,1
1,7,5,1100,2012,2,3,3,2,1
1,6,2,1122,2018,3,4,3,2,3
7,2,3,1813,2017,5,4,1,2,5
2,4,3,1418,2020,3,4,3,3,2
2,2,5,1893,2012,2,3,3,2,4
1,2,1,1718,2018,1,4,3,2,3
3,1,2,1680,2013,2,3,3,2,3
3,3,3,1875,2014,4,3,1,3,4
1,2,4,1516,2018,5,3,2,2,5
4,4,3,1553,2013,1,3,3,3,1
7,2,3,2244,2014,5,4,2,3,5
3,6,2,1224,2011,1,3,2,2,5
5,3,3,2197,2011,4,4,1,3,3
2,6,2,2280,2020,3,4,3,3,4
4,7,3,1659,2015,2,4,1,3,5
1,6,4,958,2012,1,4,1,3,5
6,1,5,1463,2015,4,3,1,3,2
1,3,3,1905,2015,3,3,2,3,3
2,6,2,1831,2019,5,4,1,2,2
7,3,3,2390,2015,4,4,3,2,1
3,6,1,1317,2017,5,3,3,3,5
7,3,4,2063,2015,2,3,1,2,5
2,7,2,1722,2017,4,4,3,3,4
5,6,2,1366,2016,1,3,1,3,5
3,1,2,1016,2018,1,4,1,3,1
3,5,1,1822,2019,2,3,2,3,4
6,4,4,1824,2015,3,3,2,2,2
3,4,4,1027,2015,4,4,3,3,3
1,4,4,1326,2011,4,4,1,3,1
1,2,1,1280,2015,2,4,1,3,1
1,1,5,937,2017,4,3,1,2,3
3,7,2,1932,2016,1,3,3,2,5
4,4,2,1014,2016,4,3,2,2,2
1,7,4,901,2018,3,3,3,2,2
5,4,3,2157,2010,2,3,1,3,2
4,1,2,1147,2012,1,4,3,2,3
2,6,3,2139,2018,3,3,1,3,1
1,4,5,1116,2010,5,4,1,3,5
7,1,4,1315,2019,4,3,3,3,3
4,6,3,1451,2019,4,4,3,2,2
3,7,3,2294,2010,2,4,2,2,2
6,1,3,1302,2014,1,4,1,2,5
6,1,2,1293,2014,4,3,2,3,5
6,7,1,1008,2017,5,4,1,2,5
4,3,5,1089,2015,2,4,2,3,4
1,2,2,1659,2018,1,3,3,3,1
7,6,2,920,2016,5,4,1,2,5
4,3,2,2143,2016,1,3,2,2,5
1,5,2,2237,2012,5,3,2,2,4
1,3,5,2184,2014,4,3,3,2,1
2,4,3,1980,2016,2,4,1,3,3
1,2,4,1468,2015,5,3,3,2,1
3,1,3,2317,2012,2,3,1,3,1
2,6,4,1829,2012,5,4,1,2,1
5,2,1,2037,2019,5,4,3,3,3
2,1,4,1999,2010,1,3,1,3,5
2,2,1,1656,2010,4,4,1,3,3
1,6,5,1781,2010,2,3,1,2,5
3,2,5,2247,2012,4,4,2,2,5
6,6,5,1007,2018,1,4,1,3,4
6,3,1,2041,2018,3,4,2,3,2
1,5,3,1850,2015,4,4,3,2,4
1,4,4,861,2016,5,4,3,2,5
1,1,2,1049,2015,2,3,3,3,1
4,4,1,1770,2017,3,3,2,3,3
2,7,4,985,2019,4,3,1,2,4
1,4,2,2175,2011,2,4,1,2,4
7,2,1,2188,2017,2,4,3,2,5
6,6,3,976,2020,2,3,3,3,5
7,6,3,1088,2011,3,3,2,2,1
1,6,2,1129,2013,5,3,2,3,3
5,6,3,1064,2013,1,3,1,3,5
4,6,5,1287,2013,1,3,1,2,5
2,7,1,1211,2011,2,4,1,3,1
3,6,3,1207,2011,1,4,2,2,5
6,2,5,1598,2013,2,4,2,2,5
7,4,4,2377,2018,4,4,3,2,2
7,5,3,1957,2017,2,3,1,3,3
5,7,1,1372,2015,4,4,3,2,1
5,6,4,1301,2010,4,4,3,2,2
1,7,2,1070,2014,4,3,1,3,4
5,2,4,2183,2013,3,4,2,3,2
4,3,3,1238,2016,4,3,3,2,5
6,4,3,2236,2010,1,3,3,2,1
6,5,5,1287,2011,4,3,2,3,4
4,7,3,1469,2017,2,3,1,3,5
3,5,2,2180,2012,2,4,3,2,4
6,7,3,1476,2014,3,4,3,2,5
7,6,2,2171,2020,5,3,2,2,3
6,3,2,1009,2011,3,3,1,2,2
4,2,5,1512,2013,2,4,3,3,2
6,1,4,1536,2010,4,3,2,2,5
2,3,2,1148,2010,4,3,3,2,4
1,3,2,1860,2016,1,3,2,2,4
2,2,1,1373,2019,2,3,1,2,4
1,3,5,990,2013,1,3,3,3,2
7,4,4,1451,2015,2,4,1,2,3
7,5,5,907,2015,5,4,1,3,1
7,3,5,1811,2018,5,3,2,3,5
4,1,4,1445,2015,5,3,2,3,4
4,7,1,1719,2013,5,3,2,3,2
2,7,2,974,2016,3,3,2,3,4
4,2,1,1737,2011,4,3,1,3,3
5,2,3,1936,2015,4,4,3,2,2
2,6,3,1147,2018,1,4,3,3,1
7,5,2,1376,2016,1,3,3,2,1
5,4,2,2270,2011,2,4,2,3,3
1,6,3,1187,2011,4,3,3,2,2
7,2,4,1890,2020,5,3,3,3,1
2,5,5,2154,2010,1,4,3,3,3
2,1,2,840,2011,2,3,1,2,4
7,1,2,2219,2011,3,3,3,3,5
1,1,4,1116,2012,2,4,3,2,4
7,7,3,1039,2010,5,3,2,2,1
7,6,5,1437,2010,4,3,2,2,1
4,1,5,1508,2017,2,3,1,3,1
5,2,5,1552,2017,4,4,1,2,1
5,2,4,1164,2017,5,3,2,3,3
5,4,4,1711,2015,2,4,2,2,4
5,6,1,2337,2012,1,3,2,3,4
7,7,4,1741,2011,5,4,3,2,5
7,4,1,2165,2012,3,4,1,2,4
3,4,2,2245,2010,5,3,2,3,3
3,4,4,1514,2013,4,4,3,3,4
3,2,5,1738,2011,2,4,1,2,4
6,6,4,2218,2013,2,4,3,2,1
4,6,1,989,2017,2,3,2,3,3
5,4,4,1074,2013,2,3,1,2,5
1,5,3,2153,2016,4,4,3,2,1
5,1,2,2400,2020,3,4,2,2,3
6,2,4,2117,2016,3,4,1,2,2
7,3,1,1388,2016,3,3,1,3,5
4,7,3,1433,2017,3,3,1,2,5
4,2,1,1135,2011,1,4,2,3,4
1,6,1,858,2011,1,3,1,3,1
4,5,2,2301,2016,5,4,2,2,4
5,2,1,2007,2020,3,4,3,3,5
2,3,2,1459,2020,2,3,2,2,3
3,5,5,1025,2020,5,4,3,3,2
3,2,1,1076,2019,5,4,3,3,1
6,6,5,1861,2015,3,4,2,3,1
6,1,3,1168,2014,3,3,2,3,5
3,2,3,1193,2014,4,4,3,2,3
6,7,1,1642,2015,3,3,1,2,4
1,7,2,2051,2010,4,3,2,2,1
5,5,1,1859,2015,5,4,2,2,3
1,4,4,2353,2015,1,3,1,3,2
5,6,4,1847,2012,4,3,1,3,1
7,7,4,2103,2017,2,3,3,3,3
3,4,1,2086,2019,1,4,2,3,5
5,3,2,1622,2011,3,4,3,3,1
2,1,1,2163,2010,1,3,1,3,4
5,2,2,1635,2014,5,4,3,2,4
3,4,5,1886,2019,2,4,2,2,3
2,1,4,2331,2016,3,3,1,2,5
4,4,4,1750,2010,1,4,3,2,3
3,4,5,1287,2018,2,3,3,3,4
4,6,4,1425,2019,4,4,2,3,4
5,5,2,1287,2011,3,3,1,3,1
3,2,2,875,2010,1,3,2,2,3
2,2,2,814,2016,2,3,1,2,1
5,2,2,2182,2011,4,4,2,3,5
3,1,4,1118,2011,3,3,3,3,2
4,2,2,1925,2013,5,4,1,3,1
6,1,3,2120,2018,2,3,3,2,4
6,4,2,2176,2018,1,3,3,3,1
4,5,3,2037,2013,3,3,1,2,2
2,6,5,1649,2020,1,3,1,2,4
6,4,2,1490,2015,2,3,1,3,4
4,6,2,947,2010,4,4,1,3,4
1,3,1,2038,2017,3,3,2,2,3
2,6,1,1699,2018,2,3,1,3,5
2,5,1,1977,2019,2,3,3,3,4
7,7,2,1421,2016,1,3,3,2,2
1,6,2,1535,2016,1,4,1,3,2
7,4,5,1392,2019,5,3,1,2,3
6,3,1,1037,2020,3,3,1,2,5
2,2,2,2190,2017,1,3,2,2,3
1,1,5,1255,2011,5,4,1,3,3
6,5,4,2062,2017,2,4,1,2,2
6,7,4,2022,2013,1,3,2,2,3
5,7,5,1838,2016,3,3,1,3,2
1,7,1,1863,2015,4,3,3,3,5
7,5,4,2201,2018,2,3,1,3,1
4,5,5,1532,2014,5,3,2,3,3
6,6,2,1660,2012,3,4,1,2,1
7,6,3,1670,2012,3,4,2,3,5
1,1,4,1735,2015,5,3,1,3,5
7,3,1,1161,2017,3,4,3,2,5
6,6,2,1630,2015,1,3,3,3,2
7,1,1,1771,2016,2,4,3,2,4
4,2,2,1254,2011,1,4,3,2,1
7,3,2,1275,2010,3,3,1,3,5
7,3,5,1788,2019,1,3,3,2,3
4,5,1,2327,2018,2,3,2,3,2
3,2,3,1663,2012,4,3,3,3,5
7,3,2,2136,2020,2,4,1,2,4
7,5,1,1600,2019,4,4,2,2,1
7,7,1,1584,2013,3,4,2,2,1
7,1,1,2303,2015,5,4,2,3,4
7,5,4,2064,2012,1,4,3,2,2
4,5,1,2016,2013,1,3,1,3,3
4,6,3,1818,2010,2,3,1,3,2
2,5,5,1141,2020,3,4,1,2,2
2,1,4,2089,2014,5,3,1,2,1
2,4,4,1353,2019,3,4,2,3,2
3,7,5,1784,2013,2,4,3,2,5
3,5,1,1488,2020,4,4,1,3,5
3,6,4,2144,2010,3,4,3,2,1
4,2,2,1691,2013,2,4,2,2,5
7,3,4,1488,2014,2,4,3,2,3
5,5,5,865,2015,2,3,1,2,2
6,2,1,2270,2011,4,4,2,2,1
2,6,3,1655,2013,2,4,1,2,2
5,5,5,1013,2016,5,4,2,3,4
2,7,1,905,2018,1,4,2,2,1
6,5,4,1820,2014,3,3,1,2,3
1,4,3,1652,2010,2,3,3,2,1
1,2,5,822,2011,5,4,2,3,5
1,3,5,2265,2010,4,3,3,2,1
1,5,2,1171,2017,1,4,2,2,5
4,7,4,2186,2016,1,4,1,2,4
4,4,3,2003,2014,4,4,1,2,2
3,7,5,2045,2014,1,3,1,2,4
7,3,2,998,2017,4,3,1,3,4
6,6,5,1116,2011,5,4,2,3,5
5,4,1,1874,2013,1,3,1,3,3
7,2,4,1643,2020,1,4,2,3,1
7,1,5,1054,2012,3,3,2,3,3
3,1,3,1737,2016,3,4,2,3,3
4,3,4,1080,2016,4,3,3,2,5
7,5,3,1867,2019,4,4,2,2,2
6,5,5,817,2016,4,4,3,2,2
3,2,1,1416,2016,5,4,1,2,2
6,4,2,1665,2014,3,3,1,2,4
5,6,4,962,2017,3,4,2,2,2
7,3,3,1000,2012,3,4,3,3,1
5,4,4,1629,2010,1,4,2,2,3
1,1,3,1562,2010,1,3,3,3,1
3,4,5,2339,2013,2,3,1,2,4
4,4,1,1621,2020,1,3,1,3,1
1,3,1,1435,2016,4,3,1,2,3
3,4,3,2094,2019,3,3,2,2,5
3,2,5,1050,2019,2,4,3,2,2
2,7,1,1364,2012,5,4,1,2,5
2,3,2,1151,2016,2,4,1,3,3
1,1,4,1036,2020,5,3,1,2,1
7,3,2,1560,2019,2,4,1,3,3
3,6,4,1404,2018,5,4,3,3,1
3,3,4,1270,2011,4,3,2,2,5
1,3,3,1823,2013,3,3,1,2,4
2,6,5,1137,2019,2,3,1,2,4
5,1,5,2391,2010,4,4,3,3,2
1,5,2,1764,2012,2,3,1,2,5
1,2,1,2085,2015,1,3,2,3,5
7,2,1,872,2015,2,3,1,3,4
7,4,1,2327,2015,2,3,3,3,1
5,4,4,2209,2019,5,4,2,2,3
4,6,2,1920,2014,1,4,2,2,3
4,2,3,1536,2019,4,4,1,3,5
6,6,5,1784,2017,3,3,2,3,2
1,4,4,854,2017,2,3,3,2,3
7,2,3,1019,2018,5,3,3,3,4
3,5,1,1241,2011,1,4,3,3,5
2,3,2,1652,2017,5,4,2,2,2
7,7,4,1304,2017,2,3,3,3,5
4,1,2,2130,2015,2,3,1,3,2
2,4,2,958,2010,3,3,3,3,5
6,3,1,2126,2015,5,4,1,2,4
2,3,5,1101,2014,2,3,3,2,4
5,6,2,2378,2010,1,3,2,3,3
7,4,1,2180,2017,1,4,2,2,4
3,1,1,2272,2014,1,3,3,2,3
1,2,2,958,2020,1,4,3,2,1
5,5,3,2054,2017,1,4,3,3,5
2,4,5,1828,2013,4,3,2,2,1
4,3,5,1203,2012,1,4,3,3,3
3,3,3,1202,2019,5,3,2,3,3
7,7,5,2076,2013,2,3,3,2,4
5,6,2,1494,2014,3,3,1,3,5
3,1,2,1259,2017,3,4,2,2,1
1,1,2,2192,2010,2,3,3,2,2
4,2,2,1886,2010,5,3,1,3,2
2,4,2,1388,2017,5,4,3,3,4
2,4,1,1755,2011,3,3,3,3,5
6,6,4,1652,2018,2,3,3,3,1
6,1,4,1895,2020,4,4,1,2,1
6,4,3,1471,2013,3,3,3,3,5
5,2,2,1592,2015,2,4,1,2,4
4,3,2,1224,2020,3,3,1,2,1
7,4,4,1242,2015,1,4,1,2,5
4,1,2,2179,2019,3,3,3,3,3
2,5,5,1869,2020,1,4,1,3,3
6,7,2,1750,2018,5,4,3,2,1
1,3,1,1142,2016,2,3,1,2,2
2,2,1,2307,2012,3,3,1,3,3
3,4,4,1366,2013,2,3,2,3,2
7,3,4,859,2018,1,3,2,3,5
3,7,5,909,2019,3,4,3,2,1
7,1,4,1111,2012,5,3,2,2,3
5,3,5,1715,2017,2,4,2,3,2
3,1,5,1111,2012,2,3,1,3,4
6,1,1,1002,2015,5,3,2,3,1
5,3,3,1063,2019,5,4,1,2,2
2,4,3,1572,2017,3,3,3,2,1
3,6,3,2032,2019,1,4,2,2,2
3,5,4,956,2011,4,3,2,2,2
1,3,5,1189,2015,2,4,1,3,4
3,6,3,2101,2014,5,3,3,2,2
5,1,3,1112,2017,2,4,2,3,1
2,4,3,1630,2014,5,3,2,3,2
7,2,1,1318,2018,1,3,3,2,1
3,6,3,2276,2018,2,3,3,3,1
1,3,1,2268,2014,5,3,1,2,1
6,3,4,1210,2015,1,4,3,2,4
4,5,5,977,2014,1,4,3,3,2
3,7,2,1341,2012,1,4,1,2,3
7,5,2,2346,2014,1,4,3,3,4
1,2,3,1943,2014,1,4,2,2,5
2,1,3,942,2020,4,3,1,2,1
3,1,1,1362,2017,4,3,2,2,1
2,1,1,1575,2014,3,4,2,3,2
3,4,3,1003,2020,3,3,2,2,5
7,2,5,1471,2015,1,4,3,2,3
3,5,3,1081,2014,1,3,1,2,3
1,4,2,2262,2010,3,3,1,2,3
2,6,3,1875,2016,3,3,1,2,5
5,7,2,1806,2011,4,3,3,3,5
3,6,3,1275,2018,2,3,1,3,5
4,5,5,1160,2015,3,4,3,2,3
1,7,3,1919,2020,5,4,2,3,1
1,6,1,1090,2010,1,4,2,2,2
1,6,5,2392,2011,2,4,3,2,5
2,1,3,2197,2017,4,3,3,2,5
4,1,2,1558,2019,4,3,1,3,3
2,7,1,1204,2013,3,4,3,3,1
3,3,2,1214,2020,2,3,3,2,5
6,6,3,1537,2016,1,3,2,3,2
3,7,5,1781,2020,2,3,3,2,5
4,1,2,1341,2010,1,3,3,2,5
1,2,1,1011,2016,1,4,3,3,2
3,2,2,2236,2010,2,3,3,2,2
1,4,2,1892,2016,3,4,2,2,5
3,6,1,1189,2015,2,3,1,3,1
5,7,2,907,2010,5,4,3,3,3
7,1,5,1024,2014,3,3,3,3,5
1,3,3,957,2020,2,4,1,3,4
1,3,1,1126,2019,3,4,2,2,4
3,2,3,1700,2013,5,4,2,2,3
5,6,1,1042,2019,2,3,3,3,1
7,2,5,800,2013,4,3,3,2,4
7,6,2,1112,2014,5,3,2,2,4
6,4,2,1004,2019,1,3,2,3,4
6,1,2,2237,2016,5,4,2,2,1
3,6,1,2333,2010,1,3,1,3,4
6,5,5,1934,2013,4,3,3,3,5
1,6,3,1881,2013,4,4,3,3,4
5,4,3,891,2018,5,3,2,2,3
6,5,2,1664,2010,2,3,1,3,1
5,4,4,1072,2020,5,4,3,2,2
5,1,3,1807,2018,4,3,3,3,3
1,3,1,945,2010,2,3,2,3,5
3,2,4,1315,2017,3,3,3,3,5
2,1,2,2325,2013,1,4,2,2,1
6,2,1,2396,2017,1,3,3,3,4
1,1,5,1686,2017,3,4,2,3,2
4,2,2,1972,2017,1,4,1,2,5
6,2,2,905,2019,1,3,1,3,1
4,4,5,2313,2013,5,4,3,2,1
4,3,4,1595,2013,3,3,2,3,2
4,5,2,2302,2020,1,4,3,2,5
5,1,3,986,2017,3,4,2,2,4
1,2,2,1765,2016,5,3,2,3,2
1,5,2,2240,2020,2,4,1,3,5
2,1,4,805,2016,4,4,3,3,1
4,3,1,851,2019,4,4,2,2,1
1,7,5,2271,2019,4,3,3,3,5
6,1,1,1310,2020,1,3,3,3,3
1,5,3,2232,2014,1,3,2,3,4
1,1,5,1274,2016,1,3,2,3,5
2,4,5,922,2010,1,4,3,3,3
1,1,1,1189,2011,1,4,1,2,2
7,4,1,1011,2010,5,4,1,3,2
3,1,4,983,2011,4,4,2,3,2
3,1,3,1142,2013,1,4,1,3,1
6,5,1,1145,2018,4,4,3,2,5
3,6,4,1637,2017,1,3,1,3,4
2,7,2,2197,2018,5,4,3,3,1
2,1,4,932,2011,5,3,2,3,5
2,3,4,2270,2014,4,3,1,3,3
2,6,1,1609,2012,2,4,2,3,2
2,3,2,877,2013,3,4,3,2,3
1,1,3,1351,2011,1,4,3,2,1
6,4,2,1079,2012,1,4,1,3,4
3,1,1,1410,2016,1,4,2,3,5
6,2,3,1017,2012,1,4,2,3,3
1,2,1,1046,2011,5,3,2,3,4
7,7,4,1224,2020,5,3,2,2,4
5,5,4,2255,2015,1,4,1,2,2
6,1,1,1159,2012,3,4,2,3,1
2,5,1,898,2012,1,3,1,3,1
5,1,5,1237,2010,5,4,2,3,2
6,3,2,1005,2016,4,3,2,2,4
1,6,1,1398,2019,3,3,3,3,4
5,4,3,2245,2010,5,3,2,3,4
7,5,4,2088,2013,5,3,3,3,2
5,3,5,1663,2014,4,3,1,2,2
3,3,1,1948,2014,3,3,2,3,3
7,1,3,1349,2010,4,3,1,2,4
1,2,2,2258,2019,4,3,3,2,1
3,1,2,1709,2020,4,3,1,2,3
3,5,5,1123,2019,3,3,1,2,5
1,2,1,941,2011,3,4,3,3,2
2,1,4,2311,2010,3,3,3,2,5
7,1,5,1225,2011,1,4,3,3,4
7,3,2,1840,2019,4,3,3,2,1
7,6,4,1211,2010,4,4,2,2,3
4,1,4,2216,2020,2,4,1,2,4
6,4,2,1236,2020,5,3,2,3,3
7,6,2,2178,2016,2,4,2,2,5
3,6,3,1953,2013,3,4,2,2,3
4,5,5,1182,2018,1,3,2,2,5
5,3,5,1849,2020,3,3,2,2,1
7,5,5,1410,2015,2,3,3,2,1
7,3,4,1867,2010,5,4,1,3,4
5,4,1,2109,2012,2,3,1,2,1
6,1,2,1871,2013,5,3,3,2,5
2,5,2,2212,2014,5,4,3,3,5
7,1,3,1486,2015,4,3,1,2,1
6,3,3,911,2019,2,4,2,2,5
5,2,1,907,2013,2,3,1,2,4
7,4,5,1770,2014,5,3,3,2,4
5,2,2,1177,2016,2,4,1,2,1
5,6,4,1604,2020,1,4,3,2,5
4,1,1,1925,2015,5,3,2,3,2
3,6,1,1944,2017,1,4,3,3,2
4,5,4,2173,2019,2,4,3,3,2
1,4,2,1559,2019,2,3,2,3,2
5,2,5,873,2010,4,4,2,3,5
2,6,2,1452,2019,1,4,2,2,2
2,6,2,935,2013,4,4,1,2,4
7,3,1,1388,2015,3,3,1,3,5
7,5,3,2179,2013,1,4,2,2,5
1,6,2,1439,2015,5,3,3,3,2
2,7,5,942,2012,4,4,2,2,2
6,1,1,2064,2010,2,4,1,2,4
7,7,1,1565,2012,4,3,1,3,3
6,1,3,2030,2013,5,3,1,2,1
7,5,5,1053,2013,4,4,1,3,4
2,1,4,1472,2016,3,4,1,3,5
7,6,1,1592,2018,1,4,2,2,3
4,3,1,2306,2010,2,4,1,3,5
1,7,4,1558,2013,3,3,1,3,2
2,1,3,1392,2020,5,4,1,3,2
4,7,1,1116,2018,3,3,2,2,5
4,3,5,2206,2016,4,4,3,3,1
6,3,4,1534,2017,2,4,3,3,5
3,3,2,920,2017,3,3,1,3,4
1,3,5,1976,2010,4,3,1,2,3
2,6,3,1453,2016,1,4,3,2,5
6,3,1,1578,2018,1,4,3,2,4
2,1,4,1422,2018,4,4,3,3,5
6,7,5,2138,2011,4,3,1,2,4
3,1,4,1239,2017,5,3,1,2,2
4,3,2,1012,2010,2,3,1,2,1
5,1,4,1571,2012,4,4,2,2,5
7,2,5,1404,2019,2,4,1,3,1
1,5,5,1288,2020,4,4,1,2,2
7,4,5,2361,2016,2,4,2,3,5
